"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Municipal","P2_7_1","Numérico","1","8
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Municipal","P2_7_1","Numérico","1","9
"
"Tiempo de prestación de servicio en la Policía Municipal: Años","P2_8A_1","Numérico","2","01…95
"
"Tiempo de prestación de servicio en la Policía Municipal: Años","P2_8A_1","Numérico","2","00
"
"Tiempo de prestación de servicio en la Policía Municipal: Años","P2_8A_1","Numérico","2","96
"
"Tiempo de prestación de servicio en la Policía Municipal: Años","P2_8A_1","Numérico","2","98
"
"Tiempo de prestación de servicio en la Policía Municipal: Años","P2_8A_1","Numérico","2","99
"
"Tiempo de prestación de servicio en la Policía Municipal: Meses","P2_8M_1","Numérico","2","01…11
"
"Tiempo de prestación de servicio en la Policía Municipal: Meses","P2_8M_1","Numérico","2","00
"
"Tiempo de prestación de servicio en la Policía Municipal: Meses","P2_8M_1","Numérico","2","96
"
"Tiempo de prestación de servicio en la Policía Municipal: Meses","P2_8M_1","Numérico","2","98
"
"Tiempo de prestación de servicio en la Policía Municipal: Meses","P2_8M_1","Numérico","2","99
"
"Prestaba servicio en la Policía Municipal al momento de su detención","P2_9_1","Numérico","1","1
"
"Prestaba servicio en la Policía Municipal al momento de su detención","P2_9_1","Numérico","1","2
"
"Prestaba servicio en la Policía Municipal al momento de su detención","P2_9_1","Numérico","1","8
"
"Prestaba servicio en la Policía Municipal al momento de su detención","P2_9_1","Numérico","1","9
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Estatal","P2_7_2","Numérico","1","1
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Estatal","P2_7_2","Numérico","1","2
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Estatal","P2_7_2","Numérico","1","8
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Estatal","P2_7_2","Numérico","1","9
"
"Tiempo de prestación de servicio en la Policía Estatal: Años","P2_8A_2","Numérico","2","01…95
"
"Tiempo de prestación de servicio en la Policía Estatal: Años","P2_8A_2","Numérico","2","00
"
"Tiempo de prestación de servicio en la Policía Estatal: Años","P2_8A_2","Numérico","2","96
"
"Tiempo de prestación de servicio en la Policía Estatal: Años","P2_8A_2","Numérico","2","98
"
"Tiempo de prestación de servicio en la Policía Estatal: Años","P2_8A_2","Numérico","2","99
"
"Tiempo de prestación de servicio en la Policía Estatal: Meses","P2_8M_2","Numérico","2","01…11
"
"Tiempo de prestación de servicio en la Policía Estatal: Meses","P2_8M_2","Numérico","2","00
"
"Tiempo de prestación de servicio en la Policía Estatal: Meses","P2_8M_2","Numérico","2","96
"
"Tiempo de prestación de servicio en la Policía Estatal: Meses","P2_8M_2","Numérico","2","98
"
"Tiempo de prestación de servicio en la Policía Estatal: Meses","P2_8M_2","Numérico","2","99
"
"Prestaba servicio en la Policía Estatal al momento de su detención","P2_9_2","Numérico","1","1
"
"Prestaba servicio en la Policía Estatal al momento de su detención","P2_9_2","Numérico","1","2
"
"Prestaba servicio en la Policía Estatal al momento de su detención","P2_9_2","Numérico","1","8
"
"Prestaba servicio en la Policía Estatal al momento de su detención","P2_9_2","Numérico","1","9
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Federal","P2_7_3","Numérico","1","1
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Federal","P2_7_3","Numérico","1","2
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Federal","P2_7_3","Numérico","1","8
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Federal","P2_7_3","Numérico","1","9
"
"Tiempo de prestación de servicio en la Policía Federal: Años","P2_8A_3","Numérico","2","01…95
"
"Tiempo de prestación de servicio en la Policía Federal: Años","P2_8A_3","Numérico","2","00
"
"Tiempo de prestación de servicio en la Policía Federal: Años","P2_8A_3","Numérico","2","96
"
"Tiempo de prestación de servicio en la Policía Federal: Años","P2_8A_3","Numérico","2","98
"
"Tiempo de prestación de servicio en la Policía Federal: Años","P2_8A_3","Numérico","2","99
"
"Tiempo de prestación de servicio en la Policía Federal: Meses","P2_8M_3","Numérico","2","01…11
"
"Tiempo de prestación de servicio en la Policía Federal: Meses","P2_8M_3","Numérico","2","00
"
"Tiempo de prestación de servicio en la Policía Federal: Meses","P2_8M_3","Numérico","2","96
"
"Tiempo de prestación de servicio en la Policía Federal: Meses","P2_8M_3","Numérico","2","98
"
"Tiempo de prestación de servicio en la Policía Federal: Meses","P2_8M_3","Numérico","2","99
"
"Prestaba servicio en la Policía Federal al momento de su detención","P2_9_3","Numérico","1","1
"
"Prestaba servicio en la Policía Federal al momento de su detención","P2_9_3","Numérico","1","2
"
"Prestaba servicio en la Policía Federal al momento de su detención","P2_9_3","Numérico","1","8
"
"Prestaba servicio en la Policía Federal al momento de su detención","P2_9_3","Numérico","1","9
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Estatal Judicial o Ministerial","P2_7_4","Numérico","1","1
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Estatal Judicial o Ministerial","P2_7_4","Numérico","1","2
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Estatal Judicial o Ministerial","P2_7_4","Numérico","1","8
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Estatal Judicial o Ministerial","P2_7_4","Numérico","1","9
"
"Tiempo de prestación de servicio en la Policía Estatal Judicial o Ministerial: Años","P2_8A_4","Numérico","2","01…95
"
"Tiempo de prestación de servicio en la Policía Estatal Judicial o Ministerial: Años","P2_8A_4","Numérico","2","00
"
"Tiempo de prestación de servicio en la Policía Estatal Judicial o Ministerial: Años","P2_8A_4","Numérico","2","96
"
"Tiempo de prestación de servicio en la Policía Estatal Judicial o Ministerial: Años","P2_8A_4","Numérico","2","98
"
"Tiempo de prestación de servicio en la Policía Estatal Judicial o Ministerial: Años","P2_8A_4","Numérico","2","99
"
"Tiempo de prestación de servicio en la Policía Estatal Judicial o Ministerial: Meses","P2_8M_4","Numérico","2","01…11
"
"Tiempo de prestación de servicio en la Policía Estatal Judicial o Ministerial: Meses","P2_8M_4","Numérico","2","00
"
"Tiempo de prestación de servicio en la Policía Estatal Judicial o Ministerial: Meses","P2_8M_4","Numérico","2","96
"
"Tiempo de prestación de servicio en la Policía Estatal Judicial o Ministerial: Meses","P2_8M_4","Numérico","2","98
"
"Tiempo de prestación de servicio en la Policía Estatal Judicial o Ministerial: Meses","P2_8M_4","Numérico","2","99
"
"Prestaba servicio en la Policía Estatal Judicial o Ministerial al momento de su detención","P2_9_4","Numérico","1","1
"
"Prestaba servicio en la Policía Estatal Judicial o Ministerial al momento de su detención","P2_9_4","Numérico","1","2
"
"Prestaba servicio en la Policía Estatal Judicial o Ministerial al momento de su detención","P2_9_4","Numérico","1","8
"
"Prestaba servicio en la Policía Estatal Judicial o Ministerial al momento de su detención","P2_9_4","Numérico","1","9
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Federal Ministerial (PGR o FGR)","P2_7_5","Numérico","1","1
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Federal Ministerial (PGR o FGR)","P2_7_5","Numérico","1","2
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Federal Ministerial (PGR o FGR)","P2_7_5","Numérico","1","8
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Federal Ministerial (PGR o FGR)","P2_7_5","Numérico","1","9
"
"Tiempo de prestación de servicio en la Policía Federal Ministerial (PGR o FGR): Años","P2_8A_5","Numérico","2","01…95
"
"Tiempo de prestación de servicio en la Policía Federal Ministerial (PGR o FGR): Años","P2_8A_5","Numérico","2","00
"
"Tiempo de prestación de servicio en la Policía Federal Ministerial (PGR o FGR): Años","P2_8A_5","Numérico","2","96
"
"Tiempo de prestación de servicio en la Policía Federal Ministerial (PGR o FGR): Años","P2_8A_5","Numérico","2","98
"
"Tiempo de prestación de servicio en la Policía Federal Ministerial (PGR o FGR): Años","P2_8A_5","Numérico","2","99
"
"Tiempo de prestación de servicio en la Policía Federal Ministerial (PGR o FGR): Meses","P2_8M_5","Numérico","2","01…11
"
"Tiempo de prestación de servicio en la Policía Federal Ministerial (PGR o FGR): Meses","P2_8M_5","Numérico","2","00
"
"Tiempo de prestación de servicio en la Policía Federal Ministerial (PGR o FGR): Meses","P2_8M_5","Numérico","2","96
"
"Tiempo de prestación de servicio en la Policía Federal Ministerial (PGR o FGR): Meses","P2_8M_5","Numérico","2","98
"
"Tiempo de prestación de servicio en la Policía Federal Ministerial (PGR o FGR): Meses","P2_8M_5","Numérico","2","99
"
"Prestaba servicio en la Policía Federal Ministerial (PGR o FGR) al momento de su detención","P2_9_5","Numérico","1","1
"
"Prestaba servicio en la Policía Federal Ministerial (PGR o FGR) al momento de su detención","P2_9_5","Numérico","1","2
"
"Prestaba servicio en la Policía Federal Ministerial (PGR o FGR) al momento de su detención","P2_9_5","Numérico","1","8
"
"Prestaba servicio en la Policía Federal Ministerial (PGR o FGR) al momento de su detención","P2_9_5","Numérico","1","9
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Guardia Nacional","P2_7_6","Numérico","1","1
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Guardia Nacional","P2_7_6","Numérico","1","2
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Guardia Nacional","P2_7_6","Numérico","1","8
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Guardia Nacional","P2_7_6","Numérico","1","9
"
"Tiempo de prestación de servicio en la Guardia Nacional: Años","P2_8A_6","Numérico","2","01…95
"
"Tiempo de prestación de servicio en la Guardia Nacional: Años","P2_8A_6","Numérico","2","00
"
"Tiempo de prestación de servicio en la Guardia Nacional: Años","P2_8A_6","Numérico","2","96
"
"Tiempo de prestación de servicio en la Guardia Nacional: Años","P2_8A_6","Numérico","2","98
"
"Tiempo de prestación de servicio en la Guardia Nacional: Años","P2_8A_6","Numérico","2","99
"
"Tiempo de prestación de servicio en la Guardia Nacional: Meses","P2_8M_6","Numérico","2","01…11
"
"Tiempo de prestación de servicio en la Guardia Nacional: Meses","P2_8M_6","Numérico","2","00
"
"Tiempo de prestación de servicio en la Guardia Nacional: Meses","P2_8M_6","Numérico","2","96
"
"Tiempo de prestación de servicio en la Guardia Nacional: Meses","P2_8M_6","Numérico","2","98
"
"Tiempo de prestación de servicio en la Guardia Nacional: Meses","P2_8M_6","Numérico","2","99
"
"Prestaba servicio en la Guardia Nacional al momento de su detención","P2_9_6","Numérico","1","1
"
"Prestaba servicio en la Guardia Nacional al momento de su detención","P2_9_6","Numérico","1","2
"
"Prestaba servicio en la Guardia Nacional al momento de su detención","P2_9_6","Numérico","1","8
"
"Prestaba servicio en la Guardia Nacional al momento de su detención","P2_9_6","Numérico","1","9
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Ejército","P2_7_7","Numérico","1","1
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Ejército","P2_7_7","Numérico","1","2
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Ejército","P2_7_7","Numérico","1","8
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Ejército","P2_7_7","Numérico","1","9
"
"Tiempo de prestación de servicio en el Ejército: Años","P2_8A_7","Numérico","2","01…95
"
"Tiempo de prestación de servicio en el Ejército: Años","P2_8A_7","Numérico","2","00
"
"Tiempo de prestación de servicio en el Ejército: Años","P2_8A_7","Numérico","2","96
"
"Tiempo de prestación de servicio en el Ejército: Años","P2_8A_7","Numérico","2","98
"
"Tiempo de prestación de servicio en el Ejército: Años","P2_8A_7","Numérico","2","99
"
"Tiempo de prestación de servicio en el Ejército: Meses","P2_8M_7","Numérico","2","01…11
"
"Tiempo de prestación de servicio en el Ejército: Meses","P2_8M_7","Numérico","2","00
"
"Tiempo de prestación de servicio en el Ejército: Meses","P2_8M_7","Numérico","2","96
"
"Tiempo de prestación de servicio en el Ejército: Meses","P2_8M_7","Numérico","2","98
"
"Tiempo de prestación de servicio en el Ejército: Meses","P2_8M_7","Numérico","2","99
"
"Prestaba servicio en el Ejército al momento de su detención","P2_9_7","Numérico","1","1
"
"Prestaba servicio en el Ejército al momento de su detención","P2_9_7","Numérico","1","2
"
"Prestaba servicio en el Ejército al momento de su detención","P2_9_7","Numérico","1","8
"
"Prestaba servicio en el Ejército al momento de su detención","P2_9_7","Numérico","1","9
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Marina","P2_7_8","Numérico","1","1
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Marina","P2_7_8","Numérico","1","2
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Marina","P2_7_8","Numérico","1","8
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Marina","P2_7_8","Numérico","1","9
"
"Tiempo de prestación de servicio en  la Marina: Años","P2_8A_8","Numérico","2","01…95
"
"Tiempo de prestación de servicio en  la Marina: Años","P2_8A_8","Numérico","2","00
"
"Tiempo de prestación de servicio en  la Marina: Años","P2_8A_8","Numérico","2","96
"
"Tiempo de prestación de servicio en  la Marina: Años","P2_8A_8","Numérico","2","98
"
"Tiempo de prestación de servicio en  la Marina: Años","P2_8A_8","Numérico","2","99
"
"Tiempo de prestación de servicio en  la Marina: Meses","P2_8M_8","Numérico","2","01…11
"
"Tiempo de prestación de servicio en  la Marina: Meses","P2_8M_8","Numérico","2","00
"
"Tiempo de prestación de servicio en  la Marina: Meses","P2_8M_8","Numérico","2","96
"
"Tiempo de prestación de servicio en  la Marina: Meses","P2_8M_8","Numérico","2","98
"
"Tiempo de prestación de servicio en  la Marina: Meses","P2_8M_8","Numérico","2","99
"
"Prestaba servicio en la Marina al momento de su detención","P2_9_8","Numérico","1","1
"
"Prestaba servicio en la Marina al momento de su detención","P2_9_8","Numérico","1","2
"
"Prestaba servicio en la Marina al momento de su detención","P2_9_8","Numérico","1","8
"
"Prestaba servicio en la Marina al momento de su detención","P2_9_8","Numérico","1","9
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: guardia de seguridad privada","P2_7_9","Numérico","1","1
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: guardia de seguridad privada","P2_7_9","Numérico","1","2
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: guardia de seguridad privada","P2_7_9","Numérico","1","8
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: guardia de seguridad privada","P2_7_9","Numérico","1","9
"
"Tiempo de prestación de servicio como guardia de seguridad privada: Años","P2_8A_9","Numérico","2","01…95
"
"Tiempo de prestación de servicio como guardia de seguridad privada: Años","P2_8A_9","Numérico","2","00
"
"Tiempo de prestación de servicio como guardia de seguridad privada: Años","P2_8A_9","Numérico","2","96
"
"Tiempo de prestación de servicio como guardia de seguridad privada: Años","P2_8A_9","Numérico","2","98
"
"Tiempo de prestación de servicio como guardia de seguridad privada: Años","P2_8A_9","Numérico","2","99
"
"Tiempo de prestación de servicio como guardia de seguridad privada: Meses","P2_8M_9","Numérico","2","01…11
"
"Tiempo de prestación de servicio como guardia de seguridad privada: Meses","P2_8M_9","Numérico","2","00
"
"Tiempo de prestación de servicio como guardia de seguridad privada: Meses","P2_8M_9","Numérico","2","96
"
"Tiempo de prestación de servicio como guardia de seguridad privada: Meses","P2_8M_9","Numérico","2","98
"
"Tiempo de prestación de servicio como guardia de seguridad privada: Meses","P2_8M_9","Numérico","2","99
"
"Prestaba servicio como guardia de seguridad privada al momento de su detención","P2_9_9","Numérico","1","1
"
"Prestaba servicio como guardia de seguridad privada al momento de su detención","P2_9_9","Numérico","1","2
"
"Prestaba servicio como guardia de seguridad privada al momento de su detención","P2_9_9","Numérico","1","8
"
"Prestaba servicio como guardia de seguridad privada al momento de su detención","P2_9_9","Numérico","1","9
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Otra","P2_7_10","Numérico","1","1
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Otra","P2_7_10","Numérico","1","2
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Otra","P2_7_10","Numérico","1","8
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Otra","P2_7_10","Numérico","1","9
"
"Tiempo de prestación de servicio en Otra: Años","P2_8A_10","Numérico","2","01…95
"
"Tiempo de prestación de servicio en Otra: Años","P2_8A_10","Numérico","2","00
"
"Tiempo de prestación de servicio en Otra: Años","P2_8A_10","Numérico","2","96
"
"Tiempo de prestación de servicio en Otra: Años","P2_8A_10","Numérico","2","98
"
"Tiempo de prestación de servicio en Otra: Años","P2_8A_10","Numérico","2","99
"
"Tiempo de prestación de servicio en Otra: Meses","P2_8M_10","Numérico","2","01…11
"
"Tiempo de prestación de servicio en Otra: Meses","P2_8M_10","Numérico","2","00
"
"Tiempo de prestación de servicio en Otra: Meses","P2_8M_10","Numérico","2","96
"
"Tiempo de prestación de servicio en Otra: Meses","P2_8M_10","Numérico","2","98
"
"Tiempo de prestación de servicio en Otra: Meses","P2_8M_10","Numérico","2","99
"
"Prestaba servicio en Otra al momento de su detención","P2_9_10","Numérico","1","1
"
"Prestaba servicio en Otra al momento de su detención","P2_9_10","Numérico","1","2
"
"Prestaba servicio en Otra al momento de su detención","P2_9_10","Numérico","1","8
"
"Prestaba servicio en Otra al momento de su detención","P2_9_10","Numérico","1","9
"
"Trabajo que realizaba la semana previa a su detención: Especifique","P2_10_E","Alfanumérico","255","{A-Z, Ñ, Ü, espacio, acentos, caracteres especiales}
"
"Trabajo que realizaba la semana previa a su detención: Especifique","P2_10_E","Alfanumérico","255","97
"
"Trabajo que realizaba la semana previa a su detención: Especifique","P2_10_E","Alfanumérico","255","99
"
"Clave del la ocupación que realizaba la semana previa a su detención","R2_10_CVE","Numérico","4","1111…9899
"
"Clave del la ocupación que realizaba la semana previa a su detención","R2_10_CVE","Numérico","4","1011…1019
"
"Clave del la ocupación que realizaba la semana previa a su detención","R2_10_CVE","Numérico","4","1001
"
"Clave del la ocupación que realizaba la semana previa a su detención","R2_10_CVE","Numérico","4","1002
"
"Clave del la ocupación que realizaba la semana previa a su detención","R2_10_CVE","Numérico","4","1003
"
"Clave del la ocupación que realizaba la semana previa a su detención","R2_10_CVE","Numérico","4","1004
"
"Clave del la ocupación que realizaba la semana previa a su detención","R2_10_CVE","Numérico","4","1005
"
"Clave del la ocupación que realizaba la semana previa a su detención","R2_10_CVE","Numérico","4","1006
"
"Clave del la ocupación que realizaba la semana previa a su detención","R2_10_CVE","Numérico","4","1007
"
"Clave del la ocupación que realizaba la semana previa a su detención","R2_10_CVE","Numérico","4","1008
"
"Clave del la ocupación que realizaba la semana previa a su detención","R2_10_CVE","Numérico","4","9999
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","01
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","02
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","03
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","04
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","05
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","06
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","07
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","08
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","09
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","10
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","97
"
"Actividad específica que desempeñaba","R2_10_X","Numérico","2","99
"
"Actividad realizada como principal fuente de ingresos","P2_11","Numérico","1","1
"
"Actividad realizada como principal fuente de ingresos","P2_11","Numérico","1","2
"
"Actividad realizada como principal fuente de ingresos","P2_11","Numérico","1","8
"
"Actividad realizada como principal fuente de ingresos","P2_11","Numérico","1","9
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","01
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","02
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","03
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","04
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","05
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","06
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","07
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","08
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","09
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","10
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","11
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","12
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","13
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","98
"
"Razones por las que no trabajó la semana previa a su detención","P2_12","Numérico","2","99
"
"Principal fuente de ingresos la semana previa a su detención","P2_13","Numérico","2","01
"
"Principal fuente de ingresos la semana previa a su detención","P2_13","Numérico","2","02
"
