entidad_a,enticve1,capaises_c,totalca1
6,06,11,0
6,06,12,0
6,06,13,0
6,06,14,0
6,06,15,0
6,06,16,0
6,06,17,0
6,06,18,0
6,06,19,0
6,06,20,0
6,06,21,0
6,06,22,0
6,06,23,0
6,06,24,0
6,06,25,0
6,06,26,0
6,06,27,0
6,06,28,0
6,06,29,0
6,06,30,0
6,06,31,0
6,06,32,0
6,06,33,0
6,06,34,0
6,06,99,
7,07,1,0
7,07,2,0
7,07,3,0
7,07,4,0
7,07,5,0
7,07,6,0
7,07,7,0
7,07,8,0
7,07,9,0
7,07,10,0
7,07,11,0
7,07,12,0
7,07,13,0
7,07,14,0
7,07,15,0
7,07,16,0
7,07,17,0
7,07,18,0
7,07,19,0
7,07,20,0
7,07,21,0
7,07,22,0
7,07,23,0
7,07,24,0
7,07,25,0
7,07,26,0
7,07,27,0
7,07,28,0
7,07,29,0
7,07,30,0
7,07,31,0
7,07,32,0
7,07,33,0
7,07,34,0
7,07,99,
8,08,1,0
8,08,2,0
8,08,3,0
8,08,4,0
8,08,5,0
8,08,6,0
8,08,7,0
8,08,8,0
8,08,9,0
8,08,10,0
8,08,11,0
8,08,12,0
8,08,13,0
8,08,14,0
8,08,15,0
8,08,16,0
8,08,17,0
8,08,18,0
8,08,19,0
8,08,20,0
8,08,21,0
8,08,22,0
8,08,23,0
8,08,24,0
8,08,25,0
8,08,26,0
8,08,27,0
8,08,28,0
8,08,29,0
8,08,30,0
8,08,31,0
8,08,32,0
8,08,33,0
8,08,34,0
8,08,99,
9,09,1,0
9,09,2,0
9,09,3,0
9,09,4,0
9,09,5,0
9,09,6,0
9,09,7,0
9,09,8,0
9,09,9,0
9,09,10,0
9,09,11,0
9,09,12,0
9,09,13,0
9,09,14,0
9,09,15,0
9,09,16,0
9,09,17,0
9,09,18,0
9,09,19,0
9,09,20,0
9,09,21,0
9,09,22,0
9,09,23,0
9,09,24,0
9,09,25,0
9,09,26,0
9,09,27,0
9,09,28,0
9,09,29,0
9,09,30,0
9,09,31,0
9,09,32,0
9,09,33,0
9,09,34,0
9,09,99,
10,10,1,0
10,10,2,0
10,10,3,0
10,10,4,0
10,10,5,0
10,10,6,0
10,10,7,0
10,10,8,0
10,10,9,0
10,10,10,0
10,10,11,0
10,10,12,0
10,10,13,0
10,10,14,0
10,10,15,0
10,10,16,0
10,10,17,0
10,10,18,0
10,10,19,0
10,10,20,0
10,10,21,0
10,10,22,0
10,10,23,0
10,10,24,0
10,10,25,0
10,10,26,0
10,10,27,0
10,10,28,0
10,10,29,0
10,10,30,0
10,10,31,0
10,10,32,0
10,10,33,0
10,10,34,0
10,10,99,
11,11,1,0
11,11,2,0
11,11,3,0
11,11,4,0
11,11,5,0
11,11,6,0
11,11,7,0
11,11,8,0
11,11,9,0
11,11,10,0
11,11,11,0
11,11,12,0
11,11,13,0
11,11,14,0
11,11,15,0
11,11,16,0
11,11,17,0
11,11,18,0
11,11,19,0
11,11,20,0
11,11,21,0
11,11,22,0
11,11,23,0
11,11,24,0
11,11,25,0
11,11,26,0
11,11,27,0
11,11,28,0
11,11,29,0
11,11,30,0
11,11,31,0
11,11,32,0
11,11,33,0
11,11,34,0
11,11,99,
12,12,1,0
12,12,2,0
12,12,3,0
12,12,4,0
12,12,5,0
12,12,6,0
12,12,7,0
12,12,8,0
12,12,9,0
12,12,10,0
12,12,11,0
12,12,12,0
12,12,13,0
12,12,14,0
12,12,15,0
12,12,16,0
12,12,17,0
12,12,18,0
12,12,19,0
12,12,20,0
12,12,21,0
12,12,22,0
12,12,23,0
12,12,24,0
12,12,25,0
12,12,26,0
12,12,27,0
12,12,28,0
12,12,29,0
12,12,30,0
12,12,31,0
12,12,32,0
12,12,33,0
12,12,34,0
12,12,99,
13,13,1,0
13,13,2,0
13,13,3,0
13,13,4,0
13,13,5,0
13,13,6,0
13,13,7,0
13,13,8,0
13,13,9,0
13,13,10,0
13,13,11,0
13,13,12,0
13,13,13,0
13,13,14,0
13,13,15,0
13,13,16,0
13,13,17,0
13,13,18,0
13,13,19,0
13,13,20,0
13,13,21,0
13,13,22,0
13,13,23,0
13,13,24,0
13,13,25,0
13,13,26,0
13,13,27,0
13,13,28,0
13,13,29,0
13,13,30,0
13,13,31,0
13,13,32,0
13,13,33,0
13,13,34,0
13,13,99,
14,14,1,0
14,14,2,0
14,14,3,0
14,14,4,0
14,14,5,0
14,14,6,0
14,14,7,0
14,14,8,0
14,14,9,0
14,14,10,0
14,14,11,0
14,14,12,0
14,14,13,0
14,14,14,0
14,14,15,0
14,14,16,0
14,14,17,0
14,14,18,0
14,14,19,0
14,14,20,0
14,14,21,0
14,14,22,0
14,14,23,0
14,14,24,0
14,14,25,0
14,14,26,0
14,14,27,0
14,14,28,0
14,14,29,0
14,14,30,0
14,14,31,0
14,14,32,0
14,14,33,0
14,14,34,0
14,14,99,
15,15,1,0
15,15,2,0
15,15,3,0
15,15,4,0
15,15,5,0
15,15,6,0
15,15,7,0
15,15,8,0
15,15,9,0
15,15,10,0
15,15,11,0
15,15,12,0
15,15,13,0
15,15,14,0
15,15,15,0
15,15,16,0
15,15,17,0
15,15,18,0
15,15,19,0
15,15,20,0
15,15,21,0
15,15,22,0
15,15,23,0
15,15,24,0
15,15,25,0
15,15,26,0
15,15,27,0
15,15,28,0
15,15,29,0
15,15,30,0
15,15,31,0
15,15,32,0
15,15,33,0
15,15,34,0
15,15,99,
16,16,1,0
16,16,2,0
16,16,3,0
16,16,4,0
16,16,5,0
16,16,6,0
16,16,7,0
16,16,8,0
16,16,9,0
16,16,10,0
16,16,11,0
16,16,12,0
16,16,13,0
16,16,14,0
16,16,15,0
16,16,16,0
16,16,17,0
16,16,18,0
16,16,19,0
16,16,20,0
16,16,21,0
16,16,22,0
16,16,23,0
16,16,24,0
16,16,25,0
16,16,26,0
16,16,27,0
16,16,28,0
16,16,29,0
16,16,30,0
16,16,31,0
16,16,32,0
16,16,33,0
16,16,34,0
16,16,99,
17,17,1,0
17,17,2,0
17,17,3,0
17,17,4,0
17,17,5,0
17,17,6,0
17,17,7,0
17,17,8,0
17,17,9,0
17,17,10,0
17,17,11,0
17,17,12,0
17,17,13,0
17,17,14,0
17,17,15,0
17,17,16,0
17,17,17,0
17,17,18,0
17,17,19,0
17,17,20,0
17,17,21,0
17,17,22,0
17,17,23,0
17,17,24,0
17,17,25,0
17,17,26,0
17,17,27,0
17,17,28,0
17,17,29,0
17,17,30,0
17,17,31,0
17,17,32,0
17,17,33,0
17,17,34,0
17,17,99,
18,18,1,0
18,18,2,0
18,18,3,0
18,18,4,0
18,18,5,0
18,18,6,0
18,18,7,0
18,18,8,0
18,18,9,0
18,18,10,0
18,18,11,0
18,18,12,0
18,18,13,0
18,18,14,0
18,18,15,0
18,18,16,0
18,18,17,0
18,18,18,0
18,18,19,0
18,18,20,0
18,18,21,0
18,18,22,0
18,18,23,0
18,18,24,0
18,18,25,0
18,18,26,0
18,18,27,0
18,18,28,0
18,18,29,0
18,18,30,0
18,18,31,0
18,18,32,0
18,18,33,0
18,18,34,0
18,18,99,
19,19,1,0
19,19,2,0
19,19,3,0
19,19,4,0
19,19,5,0
19,19,6,0
19,19,7,0
19,19,8,0
19,19,9,0
19,19,10,0
19,19,11,0
19,19,12,0
19,19,13,0
19,19,14,0
19,19,15,0
19,19,16,0
19,19,17,0
19,19,18,0
19,19,19,0
19,19,20,0
19,19,21,0
19,19,22,0
19,19,23,0
19,19,24,0
19,19,25,0
19,19,26,0
19,19,27,0
19,19,28,0
19,19,29,0
19,19,30,0
19,19,31,0
19,19,32,0
19,19,33,0
19,19,34,0
19,19,99,
20,20,1,0
20,20,2,0
20,20,3,0
20,20,4,0
20,20,5,0
20,20,6,0
20,20,7,0
20,20,8,0
20,20,9,0
20,20,10,0
20,20,11,0
20,20,12,0
20,20,13,0
20,20,14,0
20,20,15,0
20,20,16,0
20,20,17,0
20,20,18,0
20,20,19,0
20,20,20,0
20,20,21,0
20,20,22,0
20,20,23,0
20,20,24,0
20,20,25,0
20,20,26,0
20,20,27,0
20,20,28,0
20,20,29,0
20,20,30,0
20,20,31,0
20,20,32,0
20,20,33,0
20,20,34,0
20,20,99,
21,21,1,NSS
21,21,2,NSS
21,21,3,NSS
21,21,4,NSS
21,21,5,NSS
21,21,6,NSS
21,21,7,NSS
21,21,8,NSS
21,21,9,NSS
21,21,10,NSS
21,21,11,NSS
21,21,12,NSS
21,21,13,NSS
21,21,14,NSS
21,21,15,NSS
21,21,16,NSS
21,21,17,NSS
21,21,18,NSS
21,21,19,NSS
21,21,20,NSS
21,21,21,NSS
21,21,22,NSS
21,21,23,NSS
21,21,24,NSS
21,21,25,NSS
21,21,26,NSS
21,21,27,NSS
21,21,28,NSS
21,21,29,NSS
21,21,30,NSS
21,21,31,NSS
21,21,32,NSS
21,21,33,NSS
21,21,34,NSS
21,21,99,
22,22,1,0
22,22,2,0
22,22,3,0
22,22,4,0
22,22,5,0
22,22,6,0
22,22,7,0
22,22,8,0
22,22,9,0
22,22,10,0
22,22,11,0
22,22,12,0
22,22,13,0
22,22,14,0
22,22,15,0
22,22,16,0
22,22,17,0
22,22,18,0
22,22,19,0
22,22,20,1
22,22,21,0
22,22,22,0
22,22,23,0
22,22,24,0
22,22,25,0
22,22,26,0
22,22,27,0
22,22,28,0
22,22,29,0
22,22,30,0
22,22,31,0
22,22,32,0
22,22,33,0
22,22,34,0
22,22,99,
23,23,1,0
23,23,2,0
23,23,3,0
23,23,4,0
23,23,5,0
23,23,6,0
23,23,7,0
23,23,8,0
23,23,9,0
23,23,10,0
23,23,11,0
23,23,12,0
23,23,13,0
23,23,14,0
23,23,15,0
23,23,16,0
23,23,17,0
23,23,18,0
23,23,19,0
23,23,20,0
23,23,21,0
23,23,22,0
23,23,23,0
23,23,24,0
23,23,25,0
23,23,26,0
23,23,27,0
23,23,28,0
23,23,29,0
23,23,30,0
23,23,31,0
23,23,32,0
23,23,33,0
23,23,34,0
23,23,99,
24,24,1,0
24,24,2,0
24,24,3,0
24,24,4,0
24,24,5,0
24,24,6,0
24,24,7,0
24,24,8,0
24,24,9,0
24,24,10,0
24,24,11,0
24,24,12,0
24,24,13,0
24,24,14,0
24,24,15,0
24,24,16,0
24,24,17,0
24,24,18,0
24,24,19,0
24,24,20,0
24,24,21,0
24,24,22,0
24,24,23,0
24,24,24,0
24,24,25,0
24,24,26,0
24,24,27,0
24,24,28,0
24,24,29,0
24,24,30,0
24,24,31,0
24,24,32,0
24,24,33,0
24,24,34,0
24,24,99,
25,25,1,0
25,25,2,0
25,25,3,0
25,25,4,0
25,25,5,0
25,25,6,0
25,25,7,0
25,25,8,0
25,25,9,0
25,25,10,0
25,25,11,0
25,25,12,0
25,25,13,0
25,25,14,0
25,25,15,0
25,25,16,0
25,25,17,0
25,25,18,0
25,25,19,0
25,25,20,0
25,25,21,0
25,25,22,0
25,25,23,0
25,25,24,0
25,25,25,0
25,25,26,0
25,25,27,0
25,25,28,0
25,25,29,0
25,25,30,0
25,25,31,0
25,25,32,0
25,25,33,0
25,25,34,0
25,25,99,
26,26,1,0
26,26,2,0
26,26,3,0
26,26,4,0
26,26,5,0
26,26,6,0
26,26,7,0
26,26,8,0
26,26,9,0
26,26,10,0
26,26,11,0
26,26,12,0
26,26,13,0
26,26,14,0
26,26,15,0
26,26,16,0
26,26,17,0
26,26,18,0
26,26,19,0
26,26,20,0
26,26,21,0
26,26,22,0
26,26,23,0
26,26,24,0
26,26,25,0
26,26,26,0
26,26,27,0
26,26,28,0
26,26,29,0
26,26,30,0
26,26,31,0
26,26,32,0
26,26,33,0
26,26,34,0
26,26,99,
27,27,1,0
27,27,2,0
27,27,3,0
27,27,4,0
27,27,5,0
27,27,6,0
27,27,7,0
27,27,8,0
27,27,9,0
27,27,10,0
27,27,11,0
27,27,12,0
27,27,13,0
27,27,14,0
27,27,15,0
27,27,16,0
27,27,17,0
27,27,18,0
27,27,19,0
27,27,20,0
27,27,21,0
27,27,22,0
27,27,23,0
27,27,24,0
27,27,25,0
27,27,26,0
27,27,27,0
27,27,28,0
27,27,29,0
27,27,30,0
27,27,31,0
27,27,32,0
27,27,33,0
27,27,34,0
27,27,99,
28,28,1,0
28,28,2,0
28,28,3,0
28,28,4,0
28,28,5,0
28,28,6,0
28,28,7,0
28,28,8,0
28,28,9,0
28,28,10,0
28,28,11,0
28,28,12,0
28,28,13,0
28,28,14,0
28,28,15,0
28,28,16,0
28,28,17,0
28,28,18,0
28,28,19,0
28,28,20,0
28,28,21,0
28,28,22,0
28,28,23,0
28,28,24,0
28,28,25,0
28,28,26,0
28,28,27,0
28,28,28,0
28,28,29,0
28,28,30,0
28,28,31,0
28,28,32,0
28,28,33,0
28,28,34,0
28,28,99,
29,29,1,0
29,29,2,0
29,29,3,0
29,29,4,0
29,29,5,0
29,29,6,0
29,29,7,0
29,29,8,0
29,29,9,0
29,29,10,0
29,29,11,0
29,29,12,0
29,29,13,0
29,29,14,0
29,29,15,0
29,29,16,0
29,29,17,0
29,29,18,0
29,29,19,0
29,29,20,0
29,29,21,0
29,29,22,0
29,29,23,0
29,29,24,0
29,29,25,0
29,29,26,0
29,29,27,0
29,29,28,0
29,29,29,0
29,29,30,0
29,29,31,0
29,29,32,0
29,29,33,0
29,29,34,0
29,29,99,
30,30,1,0
30,30,2,0
30,30,3,0
30,30,4,0
30,30,5,0
30,30,6,0
30,30,7,0
30,30,8,0
30,30,9,0
30,30,10,0
30,30,11,0
30,30,12,0
30,30,13,0
30,30,14,0
30,30,15,0
30,30,16,0
30,30,17,0
30,30,18,0
30,30,19,0
30,30,20,0
30,30,21,0
30,30,22,0
30,30,23,0
30,30,24,0
30,30,25,0
30,30,26,0
30,30,27,0
30,30,28,0
30,30,29,0
30,30,30,0
30,30,31,0
30,30,32,0
30,30,33,0
30,30,34,0
30,30,99,
31,31,1,0
31,31,2,0
31,31,3,0
31,31,4,0
31,31,5,0
31,31,6,0
31,31,7,0
31,31,8,0
31,31,9,0
31,31,10,0
31,31,11,0
31,31,12,0
31,31,13,0
31,31,14,0
31,31,15,0
31,31,16,0
31,31,17,0
31,31,18,0
31,31,19,0
31,31,20,0
31,31,21,0
31,31,22,0
31,31,23,0
31,31,24,0
31,31,25,0
31,31,26,0
31,31,27,0
31,31,28,0
31,31,29,0
31,31,30,0
31,31,31,0
31,31,32,0
31,31,33,0
31,31,34,0
31,31,99,
32,32,1,0
32,32,2,0
32,32,3,0
32,32,4,0
32,32,5,0
32,32,6,0
32,32,7,0
32,32,8,0
32,32,9,0
32,32,10,0
32,32,11,0
32,32,12,0
32,32,13,0
32,32,14,0
32,32,15,0
32,32,16,0
32,32,17,0
32,32,18,0
32,32,19,0
32,32,20,0
32,32,21,0
32,32,22,0
32,32,23,0
32,32,24,0
32,32,25,0
32,32,26,0
32,32,27,0
32,32,28,0
32,32,29,0
32,32,30,0
32,32,31,0
32,32,32,0
32,32,33,0
32,32,34,0
32,32,99,
